,x,y,z,priority,my_area,exist
0,0.1166,0.0,0.106,110,False,False
1,0.2566,0.0,0.106,109,False,False
2,0.3966,0.0,0.106,108,False,False
3,0.5366,0.0,0.106,107,False,False
4,0.6766,0.0,0.106,106,False,True
5,0.8166,0.0,0.106,105,False,True
6,0.9566,0.0,0.106,104,False,True
7,1.0966,0.0,0.106,103,False,True
8,1.2366,0.0,0.106,102,False,True
9,0.2767,-0.297,0.076,217,True,True
10,0.4767,-0.297,0.076,218,True,True
11,0.6767,-0.297,0.076,219,True,True
12,0.8767,-0.297,0.076,220,True,True
13,1.0767,-0.297,0.076,221,True,True
14,0.1767,-0.397,0.076,212,True,True
15,0.3767,-0.397,0.076,213,True,True
16,0.5767,-0.397,0.076,214,True,True
17,0.7767,-0.397,0.076,215,True,True
18,0.9767,-0.397,0.076,216,True,True
19,1.1767,-0.397,0.076,211,True,True
20,0.2767,-0.49700000000000005,0.076,207,True,True
21,0.4767,-0.49700000000000005,0.076,208,True,True
22,0.6767,-0.49700000000000005,0.076,209,True,True
23,0.8767,-0.49700000000000005,0.076,210,True,True
24,1.0767,-0.49700000000000005,0.076,1,True,True
